input_history,input_question,agent_response,detected_intent,tools_called,is_correct1,is_correct,violations
[],請問你們的退換貨政策是什麼？,"JTCG Shop 提供 7 天鑑賞期（含例假日）。商品需保持全新、完整包裝與配件。若非商品瑕疵而退換貨，可能需自行負擔來回運費。

這樣的政策能保障您的權益，同時也確保商品品質。若有其他問題，歡迎隨時聯繫我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-4']
[],保固多久？維修怎麼申請？,"我們的臂架與支架類商品享有1年有限保固。若非人為損壞，您可以提供訂單編號或發票資訊，申請檢測與維修。申請時請準備訂單編號及故障影片或照片，並在線上提交RMA表單，客服會在工作日內回覆您檢測與處理方式。  

若需要協助，歡迎隨時聯絡我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-4']
[],發票可以開三聯式嗎？要怎麼填統編？,"您好，我們提供電子發票，若您需要三聯式發票，請於下單時備註統一編號與抬頭，我們會依照您提供的資訊開立。  
填寫統編時，請直接於備註欄輸入正確的統一編號即可。  
若有其他問題，歡迎隨時聯繫我們！  
「Better Desk, Better Focus」祝您購物愉快！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],出貨大概幾天？有免運嗎？,"現貨商品通常會在1到2個工作天內出貨。標準運送訂單滿NT$1,500即可享有免運費服務，離島或外島運費則另計。若有其他問題，歡迎隨時詢問！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],VESA 100x100 的螢幕可以用哪支臂？,"VESA 100x100 的螢幕可以使用以下幾款支臂：
1. JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）
2. JTCG 單臂支架 Lite（支援至 27 吋）
3. JTCG 超寬螢幕重載臂（支援至 49 吋）
4. JTCG 筆電托盤＋VESA 轉接組（可搭配任一支臂使用）

您可以依照螢幕尺寸與重量選擇合適的支臂。若需要，我可以提供連結給您參考。",product_search,[],,False,['R-4']
[],我的桌板厚 85mm，夾具能裝嗎？,"您的桌板厚度85mm，夾具是可以安裝的。建議厚度範圍是10到85mm，若桌板材質為玻璃或軟木，建議使用墊片或改用穿孔固定方式以確保穩固。

如果需要，我們也可以協助您選擇合適的安裝方式。  
有其他問題歡迎隨時告訴我！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-3']
[],我要找真人客服,我可以幫您處理這個流程。請問您的電子郵件地址是？,human_handover,[],,True,[]
[],轉真人，謝謝,我可以幫您處理這個流程。請問您的電子郵件地址是？,human_handover,[],,True,[]
[],human agent please,I can help with that. What is your email?,human_handover,[],,True,[]
[],connect to agent,I can help with that. What is your email?,human_handover,[],,True,[]
[],我想要推薦雙螢幕支架，27 吋,"推薦您使用「JTCG 雙螢幕氣壓支架 Pro（支援至 32 吋）」，適合一般 24~32 吋螢幕，27 吋也完全相容，且支撐力強，安裝穩固。您可以參考這個連結了解詳情：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

這款支架專為雙螢幕設計，氣壓調整方便，能提升桌面整潔與使用舒適度。  
若需要其他建議也歡迎告訴我！",product_search,[],,True,[]
[],34 吋曲面螢幕適合哪一款臂架？,"34 吋曲面螢幕建議使用「JTCG 超寬螢幕重載臂（至 49 吋）」，適用 34~49 吋超寬曲面螢幕，請確認螢幕重量與 VESA 規格以確保相容。

產品連結：[JTCG 超寬螢幕重載臂](https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49)

這款臂架專為大尺寸曲面螢幕設計，承重範圍足夠且支援常見 VESA 安裝孔距。",product_search,[],,True,[]
[],49 吋超寬螢幕有支援的重載臂嗎？,"我們有支援49吋超寬螢幕的重載臂，型號為「JTCG 超寬螢幕重載臂（至49吋）」，適用34至49吋超寬曲面螢幕，承重範圍5-18公斤，支援VESA 100x100及200x100，桌面厚度20-90毫米。您可以參考這款產品：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果需要，我可以協助您進一步了解或下單。",product_search,[],,True,[]
[],要壁掛有推薦嗎？,"我們推薦這款壁掛式伸縮臂「JTCG 壁掛式伸縮臂（至 34 吋）」，適合承重2-12公斤，支援75x75及100x100 VESA標準。安裝時建議使用堅固牆面與水平儀確保安全。您可以參考這個連結了解更多：https://example.com/jtcg/p/JTCG-WALL-ARM-34

若有其他需求也歡迎告訴我！",product_search,[],,True,[]
[],有沒有筆電托盤可以接 VESA？,"我們有提供「JTCG 筆電托盤＋VESA 轉接組」，可以讓您的筆電托盤接上任何支援 VESA 的螢幕支架使用。您可以參考這款產品：[JTCG 筆電托盤＋VESA 轉接組](https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT)。

這組轉接組相容於常見的 VESA 規格（75x75、100x100），方便搭配各種支架使用。若需要更多協助，歡迎隨時詢問！",product_search,[],,True,[]
[],走線管理套件有賣嗎？,"我們有販售走線管理套件，產品名稱是「JTCG 桌面走線管理組」，適用於一般走線整理，能搭配支架與桌面使用。您可以在這裡查看詳細資訊與購買：https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT

如果需要其他產品資訊，也歡迎隨時詢問！",product_search,[],,True,[]
[],請問可用 Apple Pay 或 LINE Pay 嗎？,"您好，JTCG Shop 支援 Apple Pay 和 LINE Pay 付款方式，您可以安心使用這兩種支付方式結帳。  
若有其他問題，歡迎隨時詢問！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],可以分期付款嗎？,"您好，JTCG Shop 支援信用卡分期付款，部分銀行提供3、6、12期分期，實際手續費與條件會在結帳頁面顯示。若有需要，您可以在結帳時查看詳細分期選項。  
有任何問題歡迎隨時詢問！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],海外寄送香港可以嗎？,"您好，目前我們主要配送台灣本島，海外寄送（包括香港）需要先透過客服評估可行方案與預估費用，您可以聯繫我們客服進一步確認。  
謝謝您！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],缺貨能設定到貨通知嗎？,缺貨商品頁面可以點選「到貨通知我」，系統會在補貨後以 Email 通知您。這樣您就能第一時間知道商品到貨狀況。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],有提供到府安裝嗎？,我們在特定地區提供到府安裝服務，由合作廠商執行，費用會依地區與安裝難度另行計算。下單前建議先與客服確認是否支援您的地區。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],夾具跟穿孔裝哪個比較穩？,"穿孔固定的穩定性較佳，特別適合厚桌板或特殊材質；夾具安裝免鑽孔，便利度高，但適用於厚度10-85mm的桌板，且玻璃或軟木桌板建議使用墊片或改穿孔固定。 

簡單說，如果追求更穩固，穿孔是更好的選擇；若想免鑽孔且方便拆裝，夾具則較適合。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],螢幕 6 公斤可以用哪款？,"6公斤的螢幕建議使用「JTCG 單臂支架 Lite（至 27 吋）」，它支援重量範圍為1-6公斤，適合輕量螢幕使用。您可以參考產品頁面了解詳情：[JTCG 單臂支架 Lite](https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27)。

這款支架設計適合小型及輕量螢幕，能有效節省桌面空間，提升使用舒適度。",product_search,[],,True,[]
[],氣壓臂張力要怎麼調？,"氣壓臂張力調整方法是使用附贈的六角扳手，順時針或逆時針微調張力，使螢幕能穩定停在常用高度。請逐步調整，避免一次轉動過多圈數。

這樣可以確保氣壓臂的支撐力適合您的螢幕重量，使用更穩定舒適。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],沒有 VESA 孔怎麼裝？,"如果螢幕沒有 VESA 孔，可以使用 VESA 轉接板或筆電托盤類配件來安裝。請確認轉接板或托盤的負重與尺寸範圍符合您的螢幕後，再進行安裝。

這樣可以讓您在沒有 VESA 孔的情況下，仍能穩固地安裝螢幕。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],家裡有小孩，使用安全要注意什麼？,家裡有小孩使用時，建議加裝保護墊片避免桌面刮傷，並避免孩童攀爬或懸掛螢幕臂，同時定期檢查螺絲是否鎖固，確保使用安全。這樣能有效降低意外發生的風險。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],壁掛需要什麼牆面條件？,壁掛安裝建議選擇磚牆或實心牆面，因為這類牆面承重較佳。如果是石膏板或輕隔間牆，則需使用對應的膨脹螺絲，並建議請專業人員安裝，以確保安全與穩固。請先評估牆面承重能力。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],要申請 RMA 維修怎麼做？,"申請 RMA 維修請準備訂單編號及故障影片或照片，並於線上表單提交申請。客服會在工作日內回覆檢測結果與處理方式。

這樣能確保我們快速了解問題並提供協助。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-4']
[],電子發票可以重發嗎？,"電子發票可以重發，您可於會員中心補發下載。如需修改抬頭或統編，請於下單時填寫，若遺漏請於出貨前聯繫客服協助。  
若有需要，歡迎隨時聯絡我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],公司想大量採購可以報價嗎？,您好，我們可以提供企業或大量採購的專案報價。請您提供需求數量、安裝地點與時程，以便我們為您評估並報價。感謝您的支持！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],退貨流程跟退款時程？,"退貨流程是：線上提出申請 → 包裝回收 → 檢查完成後辦理退款。退款時程約7到14個工作天，依支付方式與銀行作業時間而定。  
若有其他問題，歡迎隨時聯繫我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],怎麼查物流追蹤？,"您好，您可以在出貨後於「我的訂單」頁面點擊追蹤碼，查看最新的配送狀態。如果長時間沒有更新，歡迎隨時聯繫我們客服協助查詢。  
這樣可以讓您隨時掌握包裹的運送進度。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],會員點數怎麼用？,會員點數可於結帳時抵用，但不得折換現金。點數的有效期限與使用規則請以會員中心公告為準。若有其他問題，歡迎隨時聯繫我們！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],臂架保養清潔怎麼做？,臂架保養清潔建議使用微濕布擦拭，避免使用含溶劑的清潔劑；並定期檢查關節與螺絲是否鬆動，適度調整以保持穩定。這樣能延長臂架使用壽命並確保安全。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],桌深需要多少？牆距要留多少？,桌深建議至少60公分，桌面後方需保留10至15公分的牆距，以方便走線和臂架活動。這樣能確保使用時的舒適與功能性。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],走線有什麼整理建議？,建議沿臂架後側與走線槽固定，並預留轉動餘量避免拉扯；轉接器與變壓器避免懸空，以降低接口受力。這樣能保持走線整潔且延長設備壽命。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],贈品沒附到可以補寄嗎？,"您好，若您收到的商品未附贈品，請於7日內提供開箱照片及訂單資訊給我們客服，我們會協助您補寄贈品。  
感謝您的支持，祝您使用愉快！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],VESA 螺絲規格要用多長？,"VESA 螺絲多數為 M4 螺牙，長度通常在 10 到 14 毫米之間。部分大型或電競螢幕可能使用 M6 或 M8 螺絲。建議依照螢幕原廠手冊確認規格，避免螺絲過長造成機板損壞。

這樣能確保安裝安全且穩固。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],能跟電動升降桌一起用嗎？,可以，產品能與電動升降桌搭配使用。但請注意線材的長度和走線鬆弛度，建議預留10到15公分的線材餘量，避免升降時拉扯線材，並避免電源變壓器懸空。這樣能確保使用安全與順暢。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],桌後有擋板，夾具還能裝嗎？,桌後有擋板時，夾具是否能裝需確認夾具的夾持深度與高度是否足夠。如果擋板干涉安裝，建議改用穿孔固定或加裝延伸固定片，以確保穩固與安全。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],兩台不同尺寸的螢幕可不可以混搭？,兩台不同尺寸的螢幕是可以混搭使用的，但建議兩側重量相近以利平衡。如果使用雙臂支架，請分別調整各臂張力，確保兩台螢幕都能穩定停駐。這樣能提供更好的使用體驗與穩定性。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],包裝內有附哪些工具和零件？,"包裝內標配包含臂架本體、夾具或穿孔配件、六角扳手，以及VESA螺絲組（型號依商品而異）。穿孔安裝可能需要自備電鑽與量尺。  
這些工具和零件足夠完成基本安裝。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],外箱撞到、零件少了怎麼辦？,"如果外箱受損或零件缺少，請您立即拍攝外箱與內容物的狀況，並於收到商品後7日內連同訂單編號回報客服。我們會協助您更換缺件或安排售後處理。  
這樣可以確保您的問題能夠及時得到妥善處理。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-1']
[],下單後想改地址可以嗎？,您好，下單後若尚未出貨，可以聯繫客服協助修改地址；若已進入出貨流程，可能需要取消訂單並重新下單，具體情況以系統狀態為準。若需要幫忙，歡迎隨時聯絡我們！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],可以取消訂單嗎？,您好，我可以幫您處理這個問題。請問您的 user_id 是多少呢？,order_info,[],,True,[]
[],預購會分批出貨嗎？,預購商品會依頁面標示的時程到貨；若同一筆訂單同時包含現貨與預購商品，可能會採分批出貨。這樣可以確保您先收到現貨商品，預購商品則待到貨後再出貨。若有需要，您也可以隨時查看訂單狀態或聯繫客服協助。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],保固需要另外登錄嗎？可以轉移嗎？,保固部分商品需要線上登錄，但大多數情況下保固僅限原始購買者，無法轉移給他人。實際規定請以商品頁面或保固憑證說明為準。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],臂架有異音怎麼處理？,"臂架有異音時，建議先檢查螺絲是否鎖緊及走線是否干涉，若異音明顯，可以在關節轉動處施以少量潤滑油（避免沾染面板）。輕微金屬摩擦聲屬正常磨合現象。

這樣做能有效減少異音並延長臂架使用壽命。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],螺絲、轉接板這些備品能單買嗎？,"您好，螺絲和轉接板等備品是可以單獨購買的，您可以在我們的配件館選購常用耗材與備品。如果找不到需要的零件，也可以提供商品SKU與需求給客服協助。  
有任何需要，歡迎隨時聯繫我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],如果剛買就降價，會補差嗎？,"您好，若商品在短期內降價，是否補差價會依活動頁公告為準，不同活動檔期可能不適用價格保護。建議您留意相關公告資訊。  
謝謝您的理解與支持！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],你們會怎麼使用我的 Email？,"您好，您提供的 Email 僅用於本次服務聯繫與訂單通知，不會用於行銷用途。若想了解更多細節，歡迎參考我們的隱私權政策。  
這樣做是為了保障您的個人資料安全，並確保您能及時收到訂單相關資訊。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],我想查訂單狀態,您好，我可以幫您處理這個問題。請問您的 user_id 是多少呢？,order_info,[],,True,[]
[],幫我查一下配送進度,您好，我可以幫您處理這個問題。請問您的 user_id 是多少呢？,order_info,[],,True,[]
[],查訂單 JTCG-202508-10001 的明細,您好，我可以帮您处理相关事务。请问您的user_id是多少？,order_info,[],,True,[]
[],我的 user_id 是 u_123456，想看歷史訂單,"您的歷史訂單有兩筆：
1. 訂單編號 JTCG-202508-10001，訂購日期為 2025-08-10，商品為 JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）。
2. 訂單編號 JTCG-202507-09012，訂購日期為 2025-07-22，商品為 JTCG 單臂支架 Lite（至 27 吋）。

如果需要查看詳細資訊或其他協助，請告訴我！",order_info,[<ToolName.GET_ORDER_BY_USER: 'get_order_by_user'>],,False,['R-3']
[],user_id u_999999，查最近那筆訂單,您最近的一筆訂單是訂單編號 JTCG-202508-11021，訂購了「JTCG 超寬螢幕重載臂（至 49 吋）」，下單時間為 2025 年 8 月 12 日。需要我幫您查詢訂單狀態或其他資訊嗎？,order_info,[<ToolName.GET_ORDER_BY_USER: 'get_order_by_user'>],,True,[]
[],我要看訂單列表,您好，我可以幫您處理這個問題。請問您的 user_id 是多少呢？,order_info,[],,True,[]
[],請轉真人，我很急,您好，我可以幫您處理相關事宜。請問您的電子郵件信箱是？,human_handover,[],,True,[]
[],在線客服在嗎？,我可以幫您處理這個流程。請問您的電子郵件地址是？,human_handover,[],,True,[]
[],service hours 客服什麼時段有？,"您好，我們的客服服務時段為週一至週五，09:30 至 18:00（國定假日除外）。若遇尖峰時段，您也可以留下Email，我們會盡速回覆您。  
感謝您的支持，祝您有美好的一天！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],請推薦一款 32 吋可用的單臂,"推薦您使用「JTCG 壁掛式伸縮臂（至 34 吋）」，它支援最大 34 吋螢幕，承重 2-12 公斤，適合較大尺寸的螢幕且安裝於牆面，能節省桌面空間。若需桌面單臂支架，目前我們沒有支援 32 吋的單臂產品，建議可考慮雙臂支架。

產品連結：[JTCG 壁掛式伸縮臂（至 34 吋）](https://example.com/jtcg/p/JTCG-WALL-ARM-34)

如有其他需求，歡迎隨時告訴我！",product_search,[],,True,[]
[],雙螢幕 + 筆電托盤要怎麼搭配？,"雙螢幕搭配筆電托盤時，建議選擇支援VESA安裝的雙臂螢幕架，並確認螢幕與筆電托盤的承重與尺寸相符。調整雙臂張力以保持平衡穩定，筆電托盤可安裝於螢幕架下方或旁邊，確保桌面整潔且使用舒適。

這樣搭配能提升桌面空間利用與工作效率，符合「Better Desk, Better Focus」的理念。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],VESA 200x100 能用哪款？,"VESA 200x100 可以使用 JTCG 超寬螢幕重載臂（型號：JTCG-ARM-ULTRAWIDE-49）。這款支架適用於 34 至 49 吋超寬曲面螢幕，支援 200x100 VESA 規格，且承重範圍為 5-18 公斤。

您可以參考產品頁面了解更多：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果需要其他協助，歡迎隨時告訴我！",product_search,[],,True,[]
[],我的桌子是玻璃的，怎麼裝比較安全？,"若您的桌子是玻璃材質，建議安裝螢幕支架時使用穿孔固定方式，或在夾具與桌面間加裝保護墊片，以避免損傷玻璃並提升穩定性。這樣能確保安裝更安全且桌面不易刮傷。

因為玻璃桌板較脆弱，直接使用夾具可能會有風險，加裝墊片或改穿孔固定是較安全的做法。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],大概多少時間可以安裝完成？,安裝時間視安裝方式而定。若使用夾具安裝，通常較簡單，約10-30分鐘即可完成；若需穿孔固定，因需鑽孔與測量，時間會較長。若您選擇我們合作廠商的到府安裝服務，具體時間會依地區與安裝難度而有所不同，建議下單前與客服確認。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],付款失敗怎麼辦？,"您好，付款失敗時建議您先確認信用卡或支付工具的餘額及設定是否正常，或嘗試更換其他付款方式如 Apple Pay、Google Pay 或 LINE Pay。如仍有問題，歡迎聯繫我們客服協助處理。

說明：JTCG Shop 支援多種付款方式，付款失敗多因支付工具設定或餘額問題，確認後可嘗試其他方式或聯繫客服。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],可以改成面交嗎？,"您好，目前訂單若尚未出貨，可以聯繫客服協助修改取貨方式；若已進入出貨流程，可能需要取消訂單後重新下單。請您盡快與我們客服聯繫，我們會協助您處理。  
謝謝您！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,False,['R-1']
[],我想知道活動優惠的使用規則,"您好，活動優惠的使用規則如下：
每筆訂單限使用一張優惠券，且不得與部分專案或企業報價合併使用。活動期間與適用品項以頁面公告為準。

若有其他問題，歡迎隨時詢問！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],我需要發票抬頭變更,您好，發票抬頭或統編需於下單時填寫，若遺漏或需要變更，請於出貨前聯繫我們客服協助處理。感謝您的配合！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],客服信箱是多少？,您好，JTCG Shop 的客服信箱目前沒有公開提供，您可以透過網站上的線上客服或留言，我們會盡快回覆您。感謝您的理解與支持！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],退款多久會到帳？,退款一般會在7到14個工作天內到帳，具體時間會依支付方式和銀行作業而有所不同。感謝您的耐心等待！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],How to track my order?,I can help with that. Could you please provide your user_id?,order_info,[],,True,[]
[],Do you ship internationally?,"Yes, JTCG Shop primarily ships within Taiwan, but international shipping is possible. Please contact our customer service to evaluate feasible options and get an estimated cost for overseas delivery.",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],Need invoice reissue,I can help with that. Could you please provide your user_id?,order_info,[],,True,[]
[],請問台北有安裝服務嗎？,您好，我們在特定地區提供到府安裝服務（由合作廠商執行），費用會依地區與安裝難度另計。建議您下單前先與客服確認台北是否支援安裝服務，謝謝！,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],JTCG-ARM-DUAL-PRO-32 有現貨嗎？,"JTCG-ARM-DUAL-PRO-32 目前有現貨，您可以在我們的官網查看並購買：[產品連結](https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32)。

這款支架支援一般 24 至 32 吋的螢幕，適合多數使用需求。若需要更多資訊，歡迎隨時詢問！",product_search,[],,False,['R-4']
[],JTCG-ARM-ULTRAWIDE-49 支援 49 吋曲面嗎？,"JTCG-ARM-ULTRAWIDE-49 支援 49 吋曲面螢幕，適用 34 至 49 吋超寬曲面螢幕，建議確認螢幕重量與 VESA 規格以確保相容性。

這款螢幕支架專為大尺寸曲面螢幕設計，能提供穩固支撐與靈活調整。",product_search,[],,True,[]
[],JTCG-WALL-ARM-34 是否含膨脹螺絲？,"JTCG-WALL-ARM-34 標配包含臂架本體、夾具/穿孔配件、六角扳手及 VESA 螺絲組，但膨脹螺絲需自備或另行購買。

因穿孔安裝可能需要電鑽與量尺，膨脹螺絲通常不包含在標配內。若需要，您也可以在我們配件館選購。",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],JTCG-LAPTOP-VESA-KIT 能裝 16 吋筆電嗎？,"JTCG-LAPTOP-VESA-KIT 本身是筆電托盤加上 VESA 轉接組，能搭配任何支援 VESA 的螢幕支架使用，並沒有特別限制筆電尺寸，因此16吋筆電是可以裝的。

簡單說，這組件主要是讓筆電能固定在支援 VESA 的支架上，16吋筆電使用上沒問題。若您需要搭配支架，建議確認支架的承重與尺寸適配。",product_search,[],,True,[]
[],JTCG-CABLE-MGMT-KIT 裡面有哪些配件？,"JTCG-CABLE-MGMT-KIT 內含常用的走線配件，具體配件內容可於配件館選購，若需要詳細清單或特定配件，建議提供 SKU 與需求給客服協助確認。

因官方資料未列出完整配件明細，若您需要更詳細資訊，歡迎告知，我們樂意協助！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],我桌板 20mm，夾具夠嗎？,夾具適用於厚度10mm至85mm的桌板，因此20mm厚的桌板夾具是足夠的。若桌板材質為玻璃或軟木，建議使用墊片或改用穿孔固定方式以確保穩定。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],請問保固範圍包含人為損壞嗎？,"您好，保固範圍不包含人為損壞。只有非人為損壞的情況下，您才能申請檢測與維修服務。若有需要，請提供訂單編號或發票資訊與我們聯繫。  
謝謝您！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],有企業合作方案嗎？學校採購也適用？,"您好，我們有企業及學校大量採購的合作方案，提供專案報價、到府安裝服務及教育/企業折扣。請提供需求數量、安裝地點與時程，我們會協助評估。  
若有需要，歡迎隨時聯繫我們！",faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
[],發票什麼時候寄？可在哪裡下載？,您好，發票為電子發票，出貨完成後會以 Email 寄送，您也可以在會員中心下載查詢。若有需要三聯式發票，請於下單時備註統編與抬頭。,faq,[<ToolName.SEARCH_KNOWLEDGE_BASE: 'search_knowldge_base'>],,True,[]
